Entity,Code,Day,deaths_per_million,rolling_7d,year,month,quarter,is_weekend,daily_change,pct_change
United States,USA,2022-06-12,0.95535344,0.9413111271428571,2022,2022-06,2022Q2,True,-0.02927966000000004,-0.029736619660663544
United States,USA,2022-06-13,0.9791954,0.9629422214285714,2022,2022-06,2022Q2,False,0.02384196000000005,0.02495616700767833
United States,USA,2022-06-14,0.9641373,0.9782991,2022,2022-06,2022Q2,False,-0.015058100000000074,-0.015378033842887828
United States,USA,2022-06-15,0.95953625,0.97991247,2022,2022-06,2022Q2,False,-0.004601049999999995,-0.004772193752902165
United States,USA,2022-06-16,0.9356942,0.9715468557142856,2022,2022-06,2022Q2,False,-0.023842049999999948,-0.02484747189071801
United States,USA,2022-06-17,0.9051597,0.9548156271428573,2022,2022-06,2022Q2,False,-0.03053450000000002,-0.03263299056465241
United States,USA,2022-06-18,0.9206361,0.9456731985714286,2022,2022-06,2022Q2,True,0.015476399999999946,0.017097977296161027
United States,USA,2022-06-19,0.92105436,0.94077333,2022,2022-06,2022Q2,True,0.00041826000000000363,0.0004543163145569462
United States,USA,2022-06-20,0.9009769,0.9295992585714286,2022,2022-06,2022Q2,False,-0.02007745999999999,-0.021798344236707123
United States,USA,2022-06-21,0.9110156,0.9220104442857142,2022,2022-06,2022Q2,False,0.010038700000000067,0.011142017070582044
United States,USA,2022-06-22,0.8499467,0.9063547942857142,2022,2022-06,2022Q2,False,-0.06106889999999998,-0.06703386857480809
United States,USA,2022-06-23,0.88926506,0.8997220600000001,2022,2022-06,2022Q2,False,0.03931836,0.046259794878902305
United States,USA,2022-06-24,0.9126888,0.9007976457142857,2022,2022-06,2022Q2,False,0.023423739999999915,0.02634056037240451
United States,USA,2022-06-25,0.9925804,0.9110754028571427,2022,2022-06,2022Q2,True,0.07989160000000006,0.08753432714414822
United States,USA,2022-06-26,1.0461204,0.9289419800000001,2022,2022-06,2022Q2,True,0.05353999999999992,0.053940214817862486
United States,USA,2022-06-27,1.0507214,0.9503340514285714,2022,2022-06,2022Q2,False,0.004601000000000077,0.0043981553174949894
United States,USA,2022-06-28,1.0344085,0.9679616085714285,2022,2022-06,2022Q2,False,-0.016312899999999964,-0.015525428529389429
United States,USA,2022-06-29,1.082929,1.0012447942857143,2022,2022-06,2022Q2,False,0.048520499999999966,0.0469065171061529
United States,USA,2022-06-30,1.1297765,1.0356035714285714,2022,2022-06,2022Q2,False,0.04684749999999993,0.043259992113979795
United States,USA,2022-07-01,1.1004969,1.0624333,2022,2022-07,2022Q3,False,-0.02927959999999996,-0.02591627636085536
United States,USA,2022-07-02,1.0938044,1.0768938714285714,2022,2022-07,2022Q3,True,-0.00669249999999999,-0.006081343800241501
United States,USA,2022-07-03,1.105098,1.0853192428571428,2022,2022-07,2022Q3,True,0.011293599999999904,0.010325063603693563
United States,USA,2022-07-04,1.1180646,1.0949396999999998,2022,2022-07,2022Q3,False,0.012966600000000161,0.011733439025317427
United States,USA,2022-07-05,1.1226658,1.1075478857142858,2022,2022-07,2022Q3,False,0.004601199999999972,0.004115325715526641
United States,USA,2022-07-06,1.0653613,1.1050382142857142,2022,2022-07,2022Q3,False,-0.05730450000000009,-0.05104324011651562
United States,USA,2022-07-07,1.0001094,1.0865143428571429,2022,2022-07,2022Q3,False,-0.06525190000000003,-0.061248611151916266
United States,USA,2022-07-08,1.0193504,1.0749219857142858,2022,2022-07,2022Q3,False,0.019241000000000064,0.019238895264858114
